273268,bet-at-home,1.87,3.72,3.91
273268,bet365,1.85,3.75,4.20
273268,Betclic,1.89,3.82,4.03
273268,Betfair,1.87,3.75,4.20
273268,Betsafe,1.93,3.85,4.10
273268,Betsson,1.93,3.85,4.10
273268,BetVictor,1.90,3.75,4.10
273268,Betway,1.85,3.80,4.00
273268,bwin,1.90,3.70,4.10
273268,ComeOn,1.91,3.80,4.10
273268,Interwetten,1.85,3.60,4.30
273268,Pinnacle,1.92,3.83,4.12
273268,SBOBET,1.93,3.65,4.00
273268,Unibet,1.90,3.85,4.20
273268,William Hill,1.88,3.70,4.00
273268,youwin,1.83,3.60,3.90
273268,Betfair Exchange,1.89,3.76,4.14
273270,10Bet,3.10,3.35,2.20
273270,188BET,3.25,3.50,2.23
273270,1xBet,3.24,3.54,2.33
273270,888sport,3.25,3.45,2.25
273270,bet-at-home,3.15,3.36,2.25
273270,bet365,3.20,3.40,2.25
273270,Betclic,3.22,3.43,2.28
273270,Betfair,3.20,3.40,2.30
273270,Betsafe,3.30,3.55,2.29
273270,Betsson,3.30,3.55,2.29
273270,BetVictor,3.30,3.40,2.25
273270,Betway,3.30,3.40,2.20
273270,bwin,3.20,3.50,2.20
273270,ComeOn,3.15,3.40,2.25
273270,Interwetten,3.15,3.40,2.25
273270,Pinnacle,3.22,3.49,2.33
273270,SBOBET,3.15,3.25,2.25
273270,Unibet,3.30,3.50,2.30
273270,William Hill,3.20,3.40,2.25
273270,youwin,3.10,3.40,2.15
273270,Betfair Exchange,3.19,3.42,2.31
